X,Y,OBJECTID,ticket_number,issued_date,location,description,status,amount
,,1,371770D,2023/01/01 01:10:00+00,100 WALTON ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,25
-8477553.68807163,5319927.75735116,2,392244D,2023/01/01 01:02:00+00,300 GENESEE ST W,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Fourth Notice,25
-8477553.68807163,5319927.75735116,3,392245D,2023/01/01 01:03:00+00,300 GENESEE ST W,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Adjudication Pending ,25
,,4,380900D,2023/01/01 14:23:00+00,200 STATE ST N,PRKD BLOCKING CRSSWLK/ALL CO15-316 (A)5,Fourth Notice,60
-8473895.34009534,5317075.02067029,5,389527D,2023/01/01 14:45:00+00,100 BUCKINGHAM AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Approved,0
,,6,369468D,2023/01/01 19:23:00+00,1500 GENESEE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,60
,,7,369469D,2023/01/01 19:24:00+00,1500 GENESEE ST E,NONE/ONE LICENSE PLATE/ALL VTL402-1,Adjudication Pending ,25
,,8,369465D,2023/01/01 19:15:00+00,1500 GENESEE ST E,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,25
,,9,369466D,2023/01/01 19:16:00+00,1500 GENESEE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,10,369467D,2023/01/01 19:25:00+00,1500 GENESEE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
-8477231.08418952,5318644.53492912,11,SH31357,2023/01/01 13:48:00+00,500 SALINA ST N,HANDICAP PARKING-OFF STREET VTL1203C4,Paid In Full,100
-8473520.13775077,5317070.90881115,12,389539D,2023/01/01 20:31:00+00,1000 WESTCOTT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,60
-8474429.84059921,5316995.52390691,13,369470D,2023/01/01 19:35:00+00,100 DORSET RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8474308.11275453,5317750.77044262,14,369471D,2023/01/01 19:45:00+00,700 SUMNER AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25
-8474257.51795123,5316415.76625211,15,369472D,2023/01/01 19:53:00+00,100 BROAD ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,25
,,16,369473D,2023/01/01 20:01:00+00,1000 LANCASTER AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25
,,17,369474D,2023/01/01 20:04:00+00,1100 LANCASTER AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
,,18,369475D,2023/01/01 20:09:00+00,1400 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
-8473759.58587073,5316190.99987459,19,369476D,2023/01/01 20:12:00+00,400 BUCKINGHAM AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,20,369477D,2023/01/01 20:15:00+00,300 BUCKINGHAM AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,21,369478D,2023/01/01 20:17:00+00,300 BUCKINGHAM AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25
-8473640.86368371,5316562.41554059,22,369479D,2023/01/01 20:21:00+00,200 KENSINGTON RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8473640.86368371,5316562.41554059,23,369480D,2023/01/01 20:23:00+00,200 KENSINGTON RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8473640.86368371,5316562.41554059,24,389521D,2023/01/01 20:27:00+00,200 KENSINGTON RD,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25
-8473640.86368371,5316562.41554059,25,389522D,2023/01/01 20:29:00+00,200 KENSINGTON RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8473640.86368371,5316562.41554059,26,389523D,2023/01/01 20:31:00+00,200 KENSINGTON RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
-8473640.86368371,5316562.41554059,27,389524D,2023/01/01 20:34:00+00,200 KENSINGTON RD,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Fourth Notice,25
,,28,396002D,2023/01/02 08:58:00+00,100 MARIPOSA ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8473772.10936386,5316844.75598755,29,389529D,2023/01/01 20:51:00+00,300 KENSINGTON RD,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,10
,,30,394356D,2023/01/02 09:08:00+00,500 CRAIG ST,NO STOPPING 6 AM - 6 PM CO15-364,Paid In Full,25
-8473895.34009534,5317075.02067029,31,389525D,2023/01/01 20:39:00+00,100 BUCKINGHAM AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25
-8473895.34009534,5317075.02067029,32,389526D,2023/01/01 20:42:00+00,100 BUCKINGHAM AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25
-8473772.10936386,5316844.75598755,33,389528D,2023/01/01 20:49:00+00,300 KENSINGTON RD,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25
,,34,389530D,2023/01/01 21:00:00+00,100 KENSINGTON PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,35,389531D,2023/01/01 21:02:00+00,100 KENSINGTON PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,36,389532D,2023/01/01 21:05:00+00,100 KENSINGTON PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,37,389533D,2023/01/01 21:07:00+00,100 KENSINGTON PL,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
-8473697.46959495,5317530.08420824,38,389534D,2023/01/01 21:14:00+00,800 MARYLAND AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
-8473697.46959495,5317530.08420824,39,389535D,2023/01/01 21:15:00+00,800 MARYLAND AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25
-8473677.93306657,5317234.01620802,40,389536D,2023/01/01 21:20:00+00,900 MARYLAND AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25
-8473677.93306657,5317234.01620802,41,389537D,2023/01/01 21:22:00+00,900 MARYLAND AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Partial ,10
,,42,389538D,2023/01/01 21:26:00+00,100 KENSINGTON RD,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
-8473520.13775077,5317070.90881115,43,389540D,2023/01/01 21:33:00+00,1000 WESTCOTT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,44,389541D,2023/01/01 21:36:00+00,200 JEROME ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,45,389542D,2023/01/01 21:39:00+00,200 JEROME ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Promise To Pay,60
-8477553.68807163,5319927.75735116,46,373484D,2023/01/01 01:01:00+00,300 GENESEE ST W,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25
,,47,389543D,2023/01/01 21:40:00+00,200 JEROME ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Promise To Pay,25
-8473387.89020637,5317073.65001209,48,389544D,2023/01/01 21:45:00+00,300 ROOSEVELT AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25
-8473387.89020637,5317073.65001209,49,389547D,2023/01/01 21:56:00+00,300 ROOSEVELT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,50,389549D,2023/01/01 21:53:00+00,100 ROOSEVELT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,51,389550D,2023/01/01 23:00:00+00,100 ROOSEVELT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8477553.68807163,5319927.75735116,52,373485D,2023/01/01 01:03:00+00,300 GENESEE ST W,FIRE HYDRANT/ALL TIMES CO15-316 (A)4,Fourth Notice,60
,,53,376220D,2023/01/02 04:18:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,25
,,54,376221D,2023/01/02 04:19:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25
,,55,376222D,2023/01/02 04:20:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,25
,,56,394113D,2023/01/02 08:47:00+00,100 LAWRENCE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,57,376223D,2023/01/02 04:22:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,25
,,58,394114D,2023/01/02 08:51:00+00,100 DELONG AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,59,394353D,2023/01/02 08:41:00+00,100 LAWRENCE ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25
-8476566.84080753,5322408.33089351,60,3994355D,2023/01/02 08:54:00+00,100 CLEVELAND AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Void Approved,0
-8477553.68807163,5319927.75735116,61,392243D,2023/01/01 01:01:00+00,300 GENESEE ST W,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Fourth Notice,25
,,62,395976D,2023/01/02 23:07:00+00,100 CANDEE AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,63,394119D,2023/01/02 09:37:00+00,1100 OAK ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,60
,,64,394359D,2023/01/02 09:31:00+00,1100 OAK ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,25
-8476566.84080753,5322408.33089351,65,394355D,2023/01/02 08:54:00+00,100 CLEVELAND AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,66,394118D,2023/01/02 09:33:00+00,1100 OAK ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,67,394360D,2023/01/02 10:54:00+00,100 MILDRED AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,68,394357D,2023/01/02 14:19:00+00,500 CRAIG ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,69,394115D,2023/01/02 09:13:00+00,500 CRATON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8473268.16599767,5317885.10392047,70,395995D,2023/01/03 00:12:00+00,700 ALLEN ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,71,376226D,2023/01/03 04:44:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Adjudication Approved,0
,,72,396004D,2023/01/02 09:11:00+00,300 WESTCOTT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,73,395965D,2023/01/02 22:34:00+00,100 FENWAY DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,74,392568D,2023/01/02 18:05:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25
,,75,371241D,2023/01/02 11:25:00+00,1500 CALEB AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
